model,family,valid_roc_auc,valid_pr_auc,valid_brier_score,valid_log_loss,valid_precision,valid_recall,valid_f1,valid_balanced_accuracy,valid_optimal_precision,valid_optimal_recall,valid_optimal_f1,valid_optimal_balanced_accuracy,valid_threshold_f1,valid_f1_best_internal,valid_lift_at_top_20pct,status
extra_trees_007,extra_trees,0.8388278630741787,0.6387529332924098,0.15881161246156356,0.47833854294381556,0.5379939209726444,0.7580299785867237,0.6293333333333333,0.7615497651820791,0.5340086830680174,0.7901498929336188,0.6373056994818653,0.7706545446120954,0.4799999999999999,0.6373056994818653,2.4532132080981115,success
extra_trees_008,extra_trees,0.8362322893671666,0.637966672757301,0.16084079696359405,0.48629806407650317,0.5317577548005908,0.7708779443254818,0.6293706293706294,0.7629505641256467,0.5351270553064275,0.7665952890792291,0.6302816901408451,0.763127629083664,0.5099999999999999,0.6302816901408451,2.4210750437998834,success
extra_trees_009,extra_trees,0.8412678843881662,0.6453442955409517,0.13967312747476113,0.4262974756901837,0.5949895615866388,0.6102783725910065,0.6025369978858351,0.7301778261718557,0.5646481178396072,0.7387580299785867,0.640074211502783,0.7665969438919209,0.3999999999999999,0.640074211502783,2.4210750437998834,success
extra_trees_010,extra_trees,0.8241165782445085,0.6104257901285284,0.15394936557051297,0.4768429690758682,0.5646630236794171,0.6638115631691649,0.610236220472441,0.7395564771023568,0.5047106325706595,0.8029978586723768,0.6198347107438017,0.7593041843593724,0.33999999999999997,0.6198347107438017,2.356798715203426,success
random_forest_011,random_forest,0.8499117984835296,0.6539705275870362,0.1570112531779925,0.4725711900304575,0.5508982035928144,0.7880085653104925,0.6484581497797357,0.7780846535980592,0.5508982035928144,0.7880085653104925,0.6484581497797357,0.7780846535980592,0.49999999999999994,0.6484581497797357,2.528202258127312,success
extra_trees_012,extra_trees,0.8420572300421315,0.643411137577879,0.13920684257109597,0.4249582488325415,0.6013071895424836,0.5910064239828694,0.5961123110151187,0.7247922382665506,0.5552099533437014,0.7644539614561028,0.6432432432432432,0.7717169343601997,0.35999999999999993,0.6432432432432432,2.4746386509635974,success
extra_trees_013,extra_trees,0.8402849256492658,0.6419748914305384,0.14035041270398183,0.4317975241636345,0.5954356846473029,0.6145610278372591,0.6048472075869337,0.731932755031458,0.5655058043117744,0.7301927194860813,0.6373831775700934,0.763859883699764,0.3999999999999999,0.6373831775700934,2.442500486665369,success
extra_trees_014,extra_trees,0.8458053807889486,0.6480022497787449,0.16205937151862945,0.48598361781324073,0.5425219941348973,0.7922912205567452,0.6440382941688425,0.7755891960588981,0.555045871559633,0.7773019271948608,0.647636039250669,0.776208923411959,0.5099999999999999,0.647636039250669,2.4746386509635974,success
extra_trees_015,extra_trees,0.8373691456863996,0.6349657913996882,0.1407392243719306,0.43090129381243986,0.5995525727069351,0.5738758029978587,0.5864332603938731,0.7177725228281411,0.5045751633986928,0.8265524625267666,0.6266233766233766,0.7668310998878037,0.27999999999999997,0.6266233766233766,2.4639259295308547,success
extra_trees_016,extra_trees,0.8355091362208712,0.6386154113058558,0.16108783300190788,0.4886514387240764,0.5281065088757396,0.7644539614561028,0.6246719160104987,0.7589657751639092,0.5202231520223152,0.7987152034261242,0.6300675675675675,0.766436427060821,0.4699999999999999,0.6300675675675675,2.41036232236714,success
extra_trees_017,extra_trees,0.835303939447094,0.6332539441987353,0.14213374765531267,0.4397533588454675,0.6012931034482759,0.5974304068522484,0.5993555316863588,0.7272314321741922,0.5463258785942492,0.7323340471092077,0.62580054894785,0.7564297747138001,0.36999999999999994,0.62580054894785,2.41036232236714,success
random_forest_018,random_forest,0.8490306107251719,0.6526062349493342,0.15457959226395065,0.46596601393418274,0.553030303030303,0.7815845824411135,0.64773735581189,0.7768046559809896,0.5458515283842795,0.8029978586723768,0.6499133448873483,0.780942515116714,0.4799999999999999,0.6499133448873483,2.528202258127312,success
random_forest_019,random_forest,0.8462083276793899,0.646667014014975,0.1504286001157568,0.45503406205672553,0.56,0.7494646680942184,0.6410256410256411,0.7684726740780211,0.5595054095826894,0.7751605995717344,0.6499102333931778,0.7774566521815396,0.4799999999999999,0.6499102333931778,2.4853513723963405,success
extra_trees_020,extra_trees,0.8403444989061687,0.6427867316247093,0.15894407756136686,0.48019591725687055,0.5431164901664145,0.7687366167023555,0.6365248226950354,0.7676758817669428,0.5589660743134087,0.7408993576017131,0.6372007366482505,0.7649628163588164,0.5399999999999999,0.6372007366482505,2.4639259295308547,success
extra_trees_021,extra_trees,0.8475859592452731,0.6472671644253359,0.15887507772444331,0.4765495042230266,0.5479041916167665,0.7837259100642399,0.6449339207048458,0.7751705284478849,0.5453237410071943,0.8115631691648822,0.6523235800344234,0.7836795753088708,0.4799999999999999,0.6523235800344234,2.5067768152618264,success
random_forest_022,random_forest,0.8367444538952636,0.6366434435567939,0.14620824408541697,0.44533208549192765,0.5773584905660377,0.6552462526766595,0.6138415245737212,0.7410698033089634,0.5093085106382979,0.8201284796573876,0.6283839212469237,0.7674830960883537,0.31999999999999995,0.6283839212469237,2.3996496009343975,success
random_forest_023,random_forest,0.8447785695137168,0.6469064215478597,0.15198686209484025,0.45858692817152935,0.5566188197767146,0.7473233404710921,0.6380255941499086,0.7662428139758861,0.5372492836676218,0.8029978586723768,0.6437768240343348,0.7766921287179505,0.43999999999999995,0.6437768240343348,2.431787765232626,success
